layer,condition,item_id,anchor_score
0,clean,math_001,0.0
0,clean,math_002,0.0
0,clean,math_003,0.0
0,clean,math_004,0.0
0,clean,math_005,0.0
0,clean,math_006,0.0
0,clean,math_007,0.0
0,clean,math_008,0.0
0,clean,math_009,0.0
0,clean,math_010,0.0
0,clean,math_011,0.0
0,clean,math_012,0.0
0,clean,math_013,0.0
0,clean,math_014,0.0
0,clean,math_015,0.0
0,clean,logic_001,0.0
0,clean,logic_002,0.0
0,clean,logic_003,0.0
0,clean,logic_004,0.0
0,clean,logic_005,0.0
0,clean,logic_006,0.0
0,clean,reading_001,0.0
0,clean,reading_002,0.0
0,clean,reading_003,0.0
0,clean,reading_004,0.0
0,clean,reading_005,0.0
0,clean,science_001,0.0
0,clean,science_002,0.0
0,clean,science_003,0.0
0,clean,science_004,0.0
0,no_anchor_context,math_001,0.0
0,no_anchor_context,math_002,0.0
0,no_anchor_context,math_003,0.0
0,no_anchor_context,math_004,0.0
0,no_anchor_context,math_005,0.0
0,no_anchor_context,math_006,0.0
0,no_anchor_context,math_007,0.0
0,no_anchor_context,math_008,0.0
0,no_anchor_context,math_009,0.0
0,no_anchor_context,math_010,0.0
0,no_anchor_context,math_011,0.0
0,no_anchor_context,math_012,0.0
0,no_anchor_context,math_013,0.0
0,no_anchor_context,math_014,0.0
0,no_anchor_context,math_015,0.0
0,no_anchor_context,logic_001,0.0
0,no_anchor_context,logic_002,0.0
0,no_anchor_context,logic_003,0.0
0,no_anchor_context,logic_004,0.0
0,no_anchor_context,logic_005,0.0
0,no_anchor_context,logic_006,0.0
0,no_anchor_context,reading_001,0.0
0,no_anchor_context,reading_002,0.0
0,no_anchor_context,reading_003,0.0
0,no_anchor_context,reading_004,0.0
0,no_anchor_context,reading_005,0.0
0,no_anchor_context,science_001,0.0
0,no_anchor_context,science_002,0.0
0,no_anchor_context,science_003,0.0
0,no_anchor_context,science_004,0.0
0,low_anchor,math_001,0.0
0,low_anchor,math_002,0.0
0,low_anchor,math_003,0.0
0,low_anchor,math_004,0.0
0,low_anchor,math_005,0.0
0,low_anchor,math_006,0.0
0,low_anchor,math_007,0.0
0,low_anchor,math_008,0.0
0,low_anchor,math_009,0.0
0,low_anchor,math_010,0.0
0,low_anchor,math_011,0.0
0,low_anchor,math_012,0.0
0,low_anchor,math_013,0.0
0,low_anchor,math_014,0.0
0,low_anchor,math_015,0.0
0,low_anchor,logic_001,0.0
0,low_anchor,logic_002,0.0
0,low_anchor,logic_003,0.0
0,low_anchor,logic_004,0.0
0,low_anchor,logic_005,0.0
0,low_anchor,logic_006,0.0
0,low_anchor,reading_001,0.0
0,low_anchor,reading_002,0.0
0,low_anchor,reading_003,0.0
0,low_anchor,reading_004,0.0
0,low_anchor,reading_005,0.0
0,low_anchor,science_001,0.0
0,low_anchor,science_002,0.0
0,low_anchor,science_003,0.0
0,low_anchor,science_004,0.0
0,mid_anchor,math_001,0.0
0,mid_anchor,math_002,0.0
0,mid_anchor,math_003,0.0
0,mid_anchor,math_004,0.0
0,mid_anchor,math_005,0.0
0,mid_anchor,math_006,0.0
0,mid_anchor,math_007,0.0
0,mid_anchor,math_008,0.0
0,mid_anchor,math_009,0.0
0,mid_anchor,math_010,0.0
0,mid_anchor,math_011,0.0
0,mid_anchor,math_012,0.0
0,mid_anchor,math_013,0.0
0,mid_anchor,math_014,0.0
0,mid_anchor,math_015,0.0
0,mid_anchor,logic_001,0.0
0,mid_anchor,logic_002,0.0
0,mid_anchor,logic_003,0.0
0,mid_anchor,logic_004,0.0
0,mid_anchor,logic_005,0.0
0,mid_anchor,logic_006,0.0
0,mid_anchor,reading_001,0.0
0,mid_anchor,reading_002,0.0
0,mid_anchor,reading_003,0.0
0,mid_anchor,reading_004,0.0
0,mid_anchor,reading_005,0.0
0,mid_anchor,science_001,0.0
0,mid_anchor,science_002,0.0
0,mid_anchor,science_003,0.0
0,mid_anchor,science_004,0.0
0,high_anchor,math_001,0.0
0,high_anchor,math_002,0.0
0,high_anchor,math_003,0.0
0,high_anchor,math_004,0.0
0,high_anchor,math_005,0.0
0,high_anchor,math_006,0.0
0,high_anchor,math_007,0.0
0,high_anchor,math_008,0.0
0,high_anchor,math_009,0.0
0,high_anchor,math_010,0.0
0,high_anchor,math_011,0.0
0,high_anchor,math_012,0.0
0,high_anchor,math_013,0.0
0,high_anchor,math_014,0.0
0,high_anchor,math_015,0.0
0,high_anchor,logic_001,0.0
0,high_anchor,logic_002,0.0
0,high_anchor,logic_003,0.0
0,high_anchor,logic_004,0.0
0,high_anchor,logic_005,0.0
0,high_anchor,logic_006,0.0
0,high_anchor,reading_001,0.0
0,high_anchor,reading_002,0.0
0,high_anchor,reading_003,0.0
0,high_anchor,reading_004,0.0
0,high_anchor,reading_005,0.0
0,high_anchor,science_001,0.0
0,high_anchor,science_002,0.0
0,high_anchor,science_003,0.0
0,high_anchor,science_004,0.0
1,clean,math_001,0.020138856023550034
1,clean,math_002,0.0148825254291296
1,clean,math_003,-0.03607914596796036
1,clean,math_004,0.009157095104455948
1,clean,math_005,0.0865972489118576
1,clean,math_006,0.0903913825750351
1,clean,math_007,0.2657341957092285
1,clean,math_008,0.168814018368721
1,clean,math_009,0.1191997081041336
1,clean,math_010,0.09332424402236938
1,clean,math_011,0.054039373993873596
1,clean,math_012,0.2958358824253082
1,clean,math_013,0.2283509522676468
1,clean,math_014,-0.07219657301902771
1,clean,math_015,-0.07885035872459412
1,clean,logic_001,-0.12434978783130646
1,clean,logic_002,-0.3253853917121887
1,clean,logic_003,-0.1493619829416275
1,clean,logic_004,-0.07340475916862488
1,clean,logic_005,-0.1377340853214264
1,clean,logic_006,-0.2541135847568512
1,clean,reading_001,0.1420387625694275
1,clean,reading_002,0.02410808950662613
1,clean,reading_003,0.20312318205833435
1,clean,reading_004,-0.019418321549892426
1,clean,reading_005,0.16931304335594177
